Medicine 💊 ,Start Time,End Time,Duration,Side,Type,Count,Amount (ml/cc)
Anti-Biotic,6/11/2023 23:05,6/11/2023 23:31,26,Right,Breastfeeding,1,
,6/11/2023 23:39,6/11/2023 23:50,11,,Formula Feed,,60
,6/12/2023 0:55,6/12/2023 1:05,10,,Formula Feed,,30
,6/12/2023 1:10,6/12/2023 1:20,10,,Pumped Milk Fed,,30
,6/12/2023 5:25,6/12/2023 5:41,16,Right,Breastfeeding,,
Anti-Biotic,6/12/2023 5:58,6/12/2023 6:08,10,Right,Breastfeeding,1,
Motrin,6/12/2023 10:20,6/12/2023 10:31,11,Right,Breastfeeding,1,
,6/12/2023 12:00,6/12/2023 12:17,17,Left,Breastfeeding,,
,6/12/2023 12:28,6/12/2023 12:43,15,Right,Breastfeeding,,
,6/12/2023 13:00,6/12/2023 13:10,10,,Bath,,
Anti-Biotic,6/12/2023 15:55,6/12/2023 16:05,10,Right,Breastfeeding,,
,6/12/2023 16:29,6/12/2023 16:55,26,Left,Breastfeeding,,
,6/12/2023 17:44,6/12/2023 17:53,9,,Formula Feed,,60
,6/12/2023 18:07,6/12/2023 18:17,10,Right,Breastfeeding,,
,6/12/2023 20:29,6/12/2023 20:39,10,Right,Breastfeeding,,
,6/12/2023 19:47,6/12/2023 19:55,8,,Formula Feed,,
,6/12/2023 21:54,6/12/2023 22:09,15,Right,Breastfeeding,,
,6/12/2023 22:10,6/12/2023 22:23,13,Left,Breastfeeding,,
Anti-Biotic,6/12/2023 23:37,6/12/2023 23:42,5,Left,Breastfeeding,,
,6/12/2023 23:43,6/12/2023 23:56,13,,Formula Feed,,90
Anti-Biotic,6/13/2023 4:35,6/13/2023 4:45,10,Right,Breastfeeding,,
,6/13/2023 4:50,6/13/2023 4:55,5,Left,Breastfeeding,,
,6/13/2023 5:05,6/13/2023 5:13,8,,Formula Feed,,40
,6/13/2023 7:54,6/13/2023 8:07,13,Right,Breastfeeding,,
Anti-Biotic,6/13/2023 10:58,6/13/2023 11:05,7,Left,Breastfeeding,,
,6/13/2023 11:06,6/13/2023 11:15,9,,Bath,,
,6/13/2023 11:16,6/13/2023 11:54,38,Left,Breastfeeding,,
,6/13/2023 12:43,6/13/2023 12:51,8,Right,Breastfeeding,,
,6/13/2023 12:58,6/13/2023 13:08,10,Right,Milk Extraction,,40
,6/13/2023 13:13,6/13/2023 13:23,10,Left,Milk Extraction,,30
